,TotalTransactions,income,riskscore,subscribed,opened,SCRate,TRate,return-N6M,return-HYG,return-IVV,gen_F,gen_M,ed_Deg or abv,ed_H.Sch/Dip.,ed_Sec. or below
151,3062.1292054240002,80654.64239,2,1,0,0.0,0.003,-0.041937999999999996,0.009385,0.063593,1,0,0,1,0
152,10774.877868515472,101579.6629,5,1,1,0.0,0.005,-0.016544,0.031439,0.090737,1,0,0,1,0
153,2252.56011055,399518.6429,1,0,0,0.03,0.0,-0.016544,0.031439,0.090737,1,0,1,0,0
154,3733.6676420025,225242.8579,4,0,0,0.0,0.003,0.007121,-0.022425,-0.04503,0,1,1,0,0
155,5109.982165344067,224018.6224,3,1,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,0,1,0
156,465.2559987187622,17803.55379,3,0,0,0.03,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,0,1
157,828.1887295949999,74257.28889,4,1,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,1,0,0
158,1.392108117670432e-08,38931.363110000006,3,1,0,0.03,0.0,0.002804,-0.054965999999999994,-0.11574300000000001,0,1,0,1,0
159,2.13611656363355e-07,68999.47375,5,1,1,0.04,0.0,-0.043774,-0.022469,0.0036899999999999997,1,0,0,0,1
160,313.00009439392585,16106.675309999999,4,0,0,0.0,0.003,-0.041937999999999996,0.009385,0.063593,0,1,0,0,1
161,4769.178362310274,101767.4799,4,0,0,0.03,0.0,0.0,-0.044133,-0.05567999999999999,0,1,0,0,1
162,-8.045435606618412e-08,282308.7053,4,0,0,0.04,0.0,-0.016544,0.031439,0.090737,0,1,1,0,0
163,2047.6587320540002,33812.531039999994,2,0,0,0.03,0.0,-0.043774,-0.022469,0.0036899999999999997,1,0,0,1,0
164,2035.5667115869674,115748.3331,4,0,0,0.04,0.0,0.0,-0.044133,-0.05567999999999999,1,0,1,0,0
165,456.85565146809995,27346.39492,1,0,0,0.03,0.0,-0.029240999999999996,0.020412,0.077165,0,1,0,0,1
166,5133.166080111643,80085.2517,2,1,0,0.03,0.0,0.0049625,-0.038695499999999994,-0.0803865,0,1,0,1,0
167,2009.0606080743896,121970.944,3,0,0,0.03,0.0,-0.041937999999999996,0.009385,0.063593,0,1,0,0,1
168,-382.410543277,23378.040559999998,3,1,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,1,0,0
169,13872.572775850254,140021.9731,5,0,0,0.04,0.0,-0.016544,0.031439,0.090737,0,1,1,0,0
170,1449.0909664294672,96195.45204,3,1,0,0.03,0.0,-0.016544,0.031439,0.090737,1,0,0,1,0
171,-3.100714707215957e-08,63481.36489,3,0,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,0,0,1
172,6.049276635167189e-10,70722.80585,4,1,0,0.03,0.0,0.0,-0.044133,-0.05567999999999999,0,1,1,0,0
173,6628.154965503751,230419.4541,3,0,0,0.03,0.0,0.007121,-0.022425,-0.04503,0,1,1,0,0
174,1151.2044036601992,132918.8959,3,0,0,0.03,0.0,-0.016544,0.031439,0.090737,0,1,0,0,1
175,3088.9518243052,55422.95073,1,1,1,0.03,0.0,-0.030159,0.004485000000000001,0.0472135,0,1,0,0,1
176,-6.836614829808241e-09,242527.6264,5,0,0,0.04,0.0,-0.014493,-0.039955000000000004,-0.096236,1,0,1,0,0
